Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-23 17:00:00,1380400.644838859,1366910.4337962167,1352892.9878534835,1366963.082873799,1367351.6202002903,1369211.3138542944,1381937.5789681457,1371364.0233178805
2019-07-23 18:00:00,1341096.4944501119,1325839.4978497636,1307608.1859980174,1318104.0945770552,1328880.1274230103,1333271.395828355,1335855.1633788527,1324590.3333572536
2019-07-23 19:00:00,1293956.4863115626,1284243.6851681813,1263408.8932453291,1270212.4032581456,1288122.1823759405,1293766.3494710603,1289433.076458775,1277169.1639210498
2019-07-23 20:00:00,1262658.505215664,1250188.8705431481,1229223.8147460069,1233549.186787156,1253014.581210129,1265008.55006049,1263887.049142101,1251174.0964829777
2019-07-23 21:00:00,1248522.311671006,1222384.438921515,1202726.0170397242,1206158.0231148335,1223093.2194719606,1245080.9227035583,1251865.2866149254,1239158.469411829
2019-07-23 22:00:00,1215441.3597506871,1194566.0102180012,1175938.3812795642,1179423.3211318736,1193375.4438547767,1214729.4224842952,1224019.7029394545,1211154.2098036604
2019-07-23 23:00:00,1193463.73497663,1163921.5630644537,1145279.7364970169,1148736.11419323,1161959.822469251,1186999.9264969288,1199044.4238577983,1186034.4990036013
2019-07-24 00:00:00,1143558.9504548525,1129949.2722208113,1121819.552463361,1116750.4431374723,1133847.0691195012,1152804.9961245325,1158994.2267020487,1147425.3187506378
2019-07-24 01:00:00,1121509.6789867396,1106949.9587863646,1098716.556893975,1091834.5233681793,1111695.0649133804,1130217.0105164999,1135294.4035064052,1120991.4540674156
2019-07-24 02:00:00,1102077.566042436,1090542.9336974944,1083283.8181798488,1073952.6326306025,1096713.1925698733,1110455.5795286042,1111474.291796923,1094756.9185689592
2019-07-24 03:00:00,1090011.9840306828,1077317.9682000135,1071009.5776784904,1058721.0437860275,1084866.8507571896,1100519.9778496264,1104387.5441049032,1083334.2829917101
2019-07-24 04:00:00,1075583.5856013782,1067946.1643869027,1060991.4734832528,1045221.8571693142,1075453.4190071574,1089532.5116901193,1087754.1689906816,1065233.5605347224
2019-07-24 05:00:00,1076579.3435775295,1072800.7816895854,1063206.0013402975,1043647.7629832218,1077116.5001221327,1093187.0497041915,1091733.1522583552,1065010.7328688465
2019-07-24 06:00:00,1102536.9526773568,1107050.2962296442,1094226.0056593895,1071240.980408819,1104127.0092073614,1117288.6249595827,1112535.061777306,1083976.1234957008
2019-07-24 07:00:00,1178003.940456205,1177076.7115846986,1162586.7309749334,1137367.3057547563,1163938.8990281248,1180310.2407121002,1187859.0781825606,1153815.929211413
2019-07-24 08:00:00,1278140.9485003254,1270078.6329373843,1256636.3261771966,1230785.3852054845,1246769.5807110353,1263205.449791579,1284703.4133763225,1247710.7772371713
2019-07-24 09:00:00,1360023.9611536723,1357900.9279669244,1347552.96247863,1322381.718266649,1327947.1259989555,1337026.5195008528,1371922.4198644464,1330320.4119721032
2019-07-24 10:00:00,1416088.398130289,1414112.9114459704,1407247.2945926723,1383411.715170122,1382990.904123724,1386659.2807267867,1432104.387827221,1387530.6581235917
2019-07-24 11:00:00,1443171.4879912492,1431011.0153301375,1426926.4566156336,1404701.7560959368,1403585.292830443,1406177.3203424483,1454591.1770461295,1411090.0656825695
2019-07-24 12:00:00,1434385.375109981,1422436.6438928028,1420649.369820036,1400473.1813027374,1401098.32768684,1401000.7568771217,1445631.6501736264,1404759.5702747835
2019-07-24 13:00:00,1417181.3060839942,1410337.6904880144,1411149.8764379318,1393739.4106527998,1394946.2905358616,1391495.84081378,1432750.272049687,1393755.563924402
2019-07-24 14:00:00,1421808.971231976,1406966.2705499139,1410704.4186853848,1396453.3627433847,1396236.212797529,1395057.1893176471,1435988.4550229933,1400940.5668064791
2019-07-24 15:00:00,1421510.5438209984,1407697.9554155993,1413515.1077826074,1401654.3102714645,1400649.2007371434,1399723.5003277303,1439290.0240873548,1406222.3958177718
