Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-11-26 07:00:00,1094562.2735331408,1111767.2545382425,1097149.483460417,1099760.4085193584,1102244.255588828,1099741.346094772,1097098.8647591628,1084690.4975483676,1075627.4936118831,1075626.0902545867,1075625.3232464304,1075627.5261379813,1107796.2857793593,1101626.6471587562,1104836.2553185106,1083041.8261629306
2019-11-26 08:00:00,1199416.0522305577,1226600.363613839,1205960.5382854193,1206475.4251270224,1209319.532770618,1206880.4818971967,1203905.6201007552,1196277.1536335405,1165594.799018639,1165819.6580493448,1166484.6792383413,1168326.7709868085,1222313.5105335114,1215818.259874446,1220077.956066071,1204036.6340229854
2019-11-26 09:00:00,1290774.0549819157,1333981.6934718129,1295073.526122824,1302484.5383644179,1305403.2365831158,1302960.1951132112,1299866.97283327,1285291.667511347,1244905.4675866312,1245485.8999961838,1246788.7508087892,1249556.073810265,1324639.6271153318,1315582.2317626814,1323049.7637097766,1303276.607194116
2019-11-26 10:00:00,1346769.3995960443,1399210.897430603,1350908.8043482322,1358847.567105561,1361711.1611457234,1359107.308415027,1356235.8249580571,1342652.9306257332,1294399.1393955208,1295099.0007233347,1296489.6531508043,1298618.9623493825,1387561.0647692468,1377899.8854422597,1384171.0158208353,1366531.8536391798
2019-11-26 11:00:00,1362720.0167942925,1423432.8445346833,1369854.859601468,1377135.1012439777,1379868.8037139487,1377024.3100061803,1374550.3933494943,1360706.1312125798,1310134.5859329966,1310903.7299770948,1312746.715472337,1314400.5695985253,1403839.9995496634,1401758.5930703469,1404076.6307622904,1386842.841397682
2019-11-26 12:00:00,1357749.288285543,1423020.4292650435,1374937.4744231992,1379766.7964579258,1382179.847954393,1379167.6806308725,1377318.9537523498,1361304.8790767668,1309178.5886956812,1309897.0193521143,1312140.2303595808,1313288.7831275668,1409309.4771787801,1403966.5807437517,1409409.8030954227,1387373.357587432
2019-11-26 13:00:00,1339210.0889387005,1422077.37670113,1371826.9889178453,1371749.0395520146,1373967.4538059486,1370838.4524398136,1369298.232723597,1352179.0244492958,1299708.2328696884,1300498.5015298333,1303190.3756189707,1303773.960610389,1411959.3580212768,1405177.7195145173,1408546.8604785441,1373326.7249927435
2019-11-26 14:00:00,1349676.844032976,1422562.3401067366,1376811.8167578452,1379468.8111754223,1381279.9457890412,1378325.9174348305,1377119.467806834,1357083.2559390464,1307080.9206517749,1308040.9748280225,1311054.7459195617,1310826.9092236257,1415354.7089705043,1408853.1962241721,1409102.317870051,1380237.6340905486
2019-11-26 15:00:00,1350760.6499030332,1422384.2341695072,1365656.8027359836,1377798.4837830618,1379383.4897694075,1376508.2960368039,1375462.3015872,1350205.602076303,1304665.6428259127,1305729.639413093,1308907.4035892398,1308247.4537159381,1413286.5776639075,1408734.1277281262,1409676.595464872,1375665.9179937972
2019-11-26 16:00:00,1336115.5553298453,1411116.9478335315,1353506.437701067,1365152.8003159764,1366459.832099983,1363686.287893981,1362750.2304809329,1336765.838009865,1294533.7269382477,1295431.1554879793,1298422.7596613206,1297406.6181162377,1397441.4033780387,1396633.3815532518,1394558.031452057,1359640.3587593106
2019-11-26 17:00:00,1322467.2652991824,1385174.6155354856,1334182.9201849205,1341665.5372516357,1342403.3095850295,1339768.9363004048,1338869.6909330823,1315191.4336322702,1271580.1888210466,1272517.8182903512,1274821.9299854317,1273632.7319733107,1370948.98991488,1369588.0864341594,1363276.3932525648,1331590.518723786
